	Vectorizer	Result	Model	f1-scores	TranningSize
0	Count	0	DT	0.6773399014778326	0.5
1	Count	1	DT	0.66751269035533	0.5
2	Count	0	DT	0.6553966189856958	0.5
3	Count	1	DT	0.6811070998796631	0.5
4	Count	0	DT	0.66	0.5
5	Count	1	DT	0.66	0.5
6	Count	0	DT	0.6588235294117647	0.5
7	Count	1	DT	0.6874251497005988	0.5
8	Count	0	DT	0.6794871794871795	0.5
9	Count	1	DT	0.6951219512195121	0.5
10	Count	0	DT	0.659846547314578	0.5
11	Count	1	DT	0.6748166259168704	0.5
12	Count	0	DT	0.6616161616161617	0.5
13	Count	1	DT	0.6683168316831682	0.5
14	Count	0	DT	0.6551264980026632	0.5
15	Count	1	DT	0.6949352179034157	0.5
16	Count	0	DT	0.6683480453972257	0.5
17	Count	1	DT	0.6741016109045849	0.5
18	Count	0	DT	0.6492537313432836	0.5
19	Count	1	DT	0.6457286432160804	0.5
20	NGram	0	DT	0.7127532777115614	0.5
21	NGram	1	DT	0.6833114323258869	0.5
22	NGram	0	DT	0.7425860023724792	0.5
23	NGram	1	DT	0.7133421400264202	0.5
24	NGram	0	DT	0.7090464547677261	0.5
25	NGram	1	DT	0.6956521739130433	0.5
26	NGram	0	DT	0.7410071942446043	0.5
27	NGram	1	DT	0.7180156657963446	0.5
28	NGram	0	DT	0.6716232961586122	0.5
29	NGram	1	DT	0.6658259773013873	0.5
30	NGram	0	DT	0.7506172839506172	0.5
31	NGram	1	DT	0.7443037974683545	0.5
32	NGram	0	DT	0.7156398104265402	0.5
33	NGram	1	DT	0.6825396825396824	0.5
34	NGram	0	DT	0.6940298507462687	0.5
35	NGram	1	DT	0.6909547738693467	0.5
36	NGram	0	DT	0.7323600973236011	0.5
37	NGram	1	DT	0.7172236503856041	0.5
38	NGram	0	DT	0.7287735849056604	0.5
39	NGram	1	DT	0.6941489361702128	0.5
40	Tfidf	0	DT	0.6718146718146718	0.5
41	Tfidf	1	DT	0.6901579586877278	0.5
42	Tfidf	0	DT	0.6658291457286433	0.5
43	Tfidf	1	DT	0.6691542288557213	0.5
44	Tfidf	0	DT	0.6742138364779874	0.5
45	Tfidf	1	DT	0.6782608695652174	0.5
46	Tfidf	0	DT	0.679658952496955	0.5
47	Tfidf	1	DT	0.6623876765083441	0.5
48	Tfidf	0	DT	0.6821705426356589	0.5
49	Tfidf	1	DT	0.7021791767554479	0.5
