	Vectorizer	Result	Model	f1-scores	TranningSize
0	Count	0	LR	0.8484848484848485	0.5
1	Count	1	LR	0.8514851485148515	0.5
2	Count	0	LR	0.8374999999999999	0.5
3	Count	1	LR	0.8374999999999999	0.5
4	Count	0	LR	0.8426395939086295	0.5
5	Count	1	LR	0.8472906403940886	0.5
6	Count	0	LR	0.8506329113924052	0.5
7	Count	1	LR	0.854320987654321	0.5
8	Count	0	LR	0.8378033205619413	0.5
9	Count	1	LR	0.8445532435740514	0.5
10	Count	0	LR	0.8470588235294116	0.5
11	Count	1	LR	0.859880239520958	0.5
12	Count	0	LR	0.840506329113924	0.5
13	Count	1	LR	0.8444444444444444	0.5
14	Count	0	LR	0.8608582574772432	0.5
15	Count	1	LR	0.871239470517449	0.5
16	Count	0	LR	0.8255208333333333	0.5
17	Count	1	LR	0.8389423076923076	0.5
18	Count	0	LR	0.8439897698209718	0.5
19	Count	1	LR	0.8508557457212713	0.5
20	NGram	0	LR	0.786346396965866	0.5
21	NGram	1	LR	0.7911001236093944	0.5
22	NGram	0	LR	0.8143564356435642	0.5
23	NGram	1	LR	0.8106060606060606	0.5
24	NGram	0	LR	0.7896774193548386	0.5
25	NGram	1	LR	0.8024242424242425	0.5
26	NGram	0	LR	0.7980173482032218	0.5
27	NGram	1	LR	0.7944514501891551	0.5
28	NGram	0	LR	0.7886977886977887	0.5
29	NGram	1	LR	0.7811704834605598	0.5
30	NGram	0	LR	0.7947019867549668	0.5
31	NGram	1	LR	0.8165680473372782	0.5
32	NGram	0	LR	0.7974358974358975	0.5
33	NGram	1	LR	0.8073170731707316	0.5
34	NGram	0	LR	0.8248730964467006	0.5
35	NGram	1	LR	0.8300492610837438	0.5
36	NGram	0	LR	0.7688172043010753	0.5
37	NGram	1	LR	0.7990654205607478	0.5
38	NGram	0	LR	0.793103448275862	0.5
39	NGram	1	LR	0.7868020304568528	0.5
40	Tfidf	0	LR	0.8666666666666666	0.5
41	Tfidf	1	LR	0.8632911392405064	0.5
42	Tfidf	0	LR	0.8635235732009925	0.5
43	Tfidf	1	LR	0.8614609571788413	0.5
44	Tfidf	0	LR	0.8683544303797469	0.5
45	Tfidf	1	LR	0.8716049382716049	0.5
46	Tfidf	0	LR	0.8592777085927771	0.5
47	Tfidf	1	LR	0.8582183186951067	0.5
48	Tfidf	0	LR	0.8649318463444857	0.5
49	Tfidf	1	LR	0.862547288776797	0.5
50	Tfidf	0	LR	0.8733850129198967	0.5
51	Tfidf	1	LR	0.8813559322033899	0.5
52	Tfidf	0	LR	0.8635794743429286	0.5
53	Tfidf	1	LR	0.8639200998751561	0.5
54	Tfidf	0	LR	0.8764331210191082	0.5
55	Tfidf	1	LR	0.8809815950920246	0.5
56	Tfidf	0	LR	0.834625322997416	0.5
57	Tfidf	1	LR	0.8450363196125907	0.5
58	Tfidf	0	LR	0.8649999999999999	0.5
59	Tfidf	1	LR	0.8649999999999999	0.5
60	Count	0	LR	0.8367670364500792	0.6
61	Count	1	LR	0.8412942989214176	0.6
62	Count	0	LR	0.8493975903614459	0.6
63	Count	1	LR	0.8376623376623376	0.6
64	Count	0	LR	0.8593750000000001	0.6
65	Count	1	LR	0.8593750000000001	0.6
66	Count	0	LR	0.8446601941747574	0.6
67	Count	1	LR	0.8549848942598188	0.6
68	Count	0	LR	0.8540031397174254	0.6
69	Count	1	LR	0.8553654743390358	0.6
70	Count	0	LR	0.8594249201277955	0.6
71	Count	1	LR	0.8654434250764526	0.6
72	Count	0	LR	0.8431061806656102	0.6
73	Count	1	LR	0.8474576271186441	0.6
74	Count	0	LR	0.8529411764705882	0.6
75	Count	1	LR	0.8652694610778443	0.6
76	Count	0	LR	0.8409090909090909	0.6
77	Count	1	LR	0.8524096385542169	0.6
78	Count	0	LR	0.8625	0.6
79	Count	1	LR	0.8625	0.6
80	NGram	0	LR	0.796147672552167	0.6
81	NGram	1	LR	0.806697108066971	0.6
82	NGram	0	LR	0.8091603053435115	0.6
83	NGram	1	LR	0.8	0.6
84	NGram	0	LR	0.7999999999999999	0.6
85	NGram	1	LR	0.8031007751937983	0.6
86	NGram	0	LR	0.7974882260596545	0.6
87	NGram	1	LR	0.7993779160186626	0.6
88	NGram	0	LR	0.7956656346749225	0.6
89	NGram	1	LR	0.7917981072555205	0.6
90	NGram	0	LR	0.799342105263158	0.6
91	NGram	1	LR	0.8184523809523809	0.6
92	NGram	0	LR	0.8063492063492065	0.6
93	NGram	1	LR	0.8123076923076923	0.6
94	NGram	0	LR	0.8235294117647058	0.6
95	NGram	1	LR	0.8294930875576038	0.6
96	NGram	0	LR	0.7827529021558872	0.6
97	NGram	1	LR	0.8064992614475628	0.6
98	NGram	0	LR	0.803680981595092	0.6
99	NGram	1	LR	0.7961783439490446	0.6
100	Tfidf	0	LR	0.8424336973478939	0.6
101	Tfidf	1	LR	0.8419405320813772	0.6
102	Tfidf	0	LR	0.8640483383685801	0.6
103	Tfidf	1	LR	0.854368932038835	0.6
104	Tfidf	0	LR	0.8864696734059098	0.6
105	Tfidf	1	LR	0.8854003139717426	0.6
106	Tfidf	0	LR	0.8540031397174255	0.6
107	Tfidf	1	LR	0.8553654743390356	0.6
108	Tfidf	0	LR	0.8803680981595091	0.6
109	Tfidf	1	LR	0.875796178343949	0.6
110	Tfidf	0	LR	0.8839427662957074	0.6
111	Tfidf	1	LR	0.8878648233486943	0.6
112	Tfidf	0	LR	0.8571428571428572	0.6
113	Tfidf	1	LR	0.8553459119496856	0.6
114	Tfidf	0	LR	0.8885350318471337	0.6
115	Tfidf	1	LR	0.8926380368098159	0.6
116	Tfidf	0	LR	0.8488745980707396	0.6
117	Tfidf	1	LR	0.8571428571428571	0.6
118	Tfidf	0	LR	0.8819875776397514	0.6
119	Tfidf	1	LR	0.8805031446540882	0.6
120	Count	0	LR	0.8370044052863437	0.7
121	Count	1	LR	0.8537549407114624	0.7
122	Count	0	LR	0.8599605522682445	0.7
123	Count	1	LR	0.8432671081677703	0.7
124	Count	0	LR	0.8856548856548857	0.7
125	Count	1	LR	0.8851774530271399	0.7
126	Count	0	LR	0.8351648351648352	0.7
127	Count	1	LR	0.8514851485148514	0.7
128	Count	0	LR	0.8547717842323651	0.7
129	Count	1	LR	0.8535564853556485	0.7
130	Count	0	LR	0.8776371308016878	0.7
131	Count	1	LR	0.8806584362139918	0.7
132	Count	0	LR	0.8482328482328482	0.7
133	Count	1	LR	0.8475991649269312	0.7
134	Count	0	LR	0.8356164383561643	0.7
135	Count	1	LR	0.8620689655172413	0.7
136	Count	0	LR	0.8400852878464818	0.7
137	Count	1	LR	0.8472505091649694	0.7
138	Count	0	LR	0.8641975308641976	0.7
139	Count	1	LR	0.8607594936708861	0.7
140	NGram	0	LR	0.8	0.7
141	NGram	1	LR	0.8121212121212121	0.7
142	NGram	0	LR	0.8267716535433071	0.7
143	NGram	1	LR	0.8053097345132744	0.7
144	NGram	0	LR	0.8191268191268191	0.7
145	NGram	1	LR	0.8183716075156575	0.7
146	NGram	0	LR	0.8025751072961373	0.7
147	NGram	1	LR	0.8137651821862348	0.7
148	NGram	0	LR	0.8100208768267223	0.7
149	NGram	1	LR	0.8108108108108107	0.7
150	NGram	0	LR	0.7965367965367965	0.7
151	NGram	1	LR	0.8112449799196787	0.7
152	NGram	0	LR	0.8067940552016986	0.7
153	NGram	1	LR	0.8139059304703476	0.7
154	NGram	0	LR	0.8311688311688312	0.7
155	NGram	1	LR	0.8433734939759037	0.7
156	NGram	0	LR	0.7982261640798226	0.7
157	NGram	1	LR	0.8212180746561886	0.7
158	NGram	0	LR	0.7933884297520661	0.7
159	NGram	1	LR	0.7899159663865546	0.7
160	Tfidf	0	LR	0.8421052631578948	0.7
161	Tfidf	1	LR	0.845360824742268	0.7
162	Tfidf	0	LR	0.8656126482213439	0.7
163	Tfidf	1	LR	0.8502202643171806	0.7
164	Tfidf	0	LR	0.8935281837160751	0.7
165	Tfidf	1	LR	0.893970893970894	0.7
166	Tfidf	0	LR	0.8412017167381973	0.7
167	Tfidf	1	LR	0.8502024291497975	0.7
168	Tfidf	0	LR	0.890721649484536	0.7
169	Tfidf	1	LR	0.8884210526315789	0.7
170	Tfidf	0	LR	0.8810020876826723	0.7
171	Tfidf	1	LR	0.8814968814968815	0.7
172	Tfidf	0	LR	0.8488612836438924	0.7
173	Tfidf	1	LR	0.8469601677148847	0.7
174	Tfidf	0	LR	0.8800000000000001	0.7
175	Tfidf	1	LR	0.8941176470588235	0.7
176	Tfidf	0	LR	0.8516129032258065	0.7
177	Tfidf	1	LR	0.8606060606060606	0.7
178	Tfidf	0	LR	0.8747433264887065	0.7
179	Tfidf	1	LR	0.8710359408033826	0.7
180	Count	0	LR	0.8707482993197279	0.8
181	Count	1	LR	0.8901734104046242	0.8
182	Count	0	LR	0.8895348837209303	0.8
183	Count	1	LR	0.8716216216216217	0.8
184	Count	0	LR	0.8609271523178809	0.8
185	Count	1	LR	0.8757396449704142	0.8
186	Count	0	LR	0.8338983050847457	0.8
187	Count	1	LR	0.8579710144927536	0.8
188	Count	0	LR	0.8580441640378549	0.8
189	Count	1	LR	0.8606811145510835	0.8
190	Count	0	LR	0.8708708708708709	0.8
191	Count	1	LR	0.8599348534201955	0.8
192	Count	0	LR	0.8654970760233918	0.8
193	Count	1	LR	0.8456375838926175	0.8
194	Count	0	LR	0.8581314878892734	0.8
195	Count	1	LR	0.8831908831908832	0.8
196	Count	0	LR	0.8544891640866873	0.8
197	Count	1	LR	0.8517350157728707	0.8
198	Count	0	LR	0.8382838283828382	0.8
199	Count	1	LR	0.85459940652819	0.8
200	NGram	0	LR	0.8064516129032259	0.8
201	NGram	1	LR	0.8181818181818181	0.8
202	NGram	0	LR	0.8529411764705883	0.8
203	NGram	1	LR	0.8333333333333334	0.8
204	NGram	0	LR	0.8220064724919094	0.8
205	NGram	1	LR	0.8338368580060422	0.8
206	NGram	0	LR	0.7891156462585034	0.8
207	NGram	1	LR	0.8208092485549132	0.8
208	NGram	0	LR	0.8275862068965517	0.8
209	NGram	1	LR	0.8286604361370716	0.8
210	NGram	0	LR	0.7935483870967741	0.8
211	NGram	1	LR	0.806060606060606	0.8
212	NGram	0	LR	0.8414634146341463	0.8
213	NGram	1	LR	0.8333333333333333	0.8
214	NGram	0	LR	0.845360824742268	0.8
215	NGram	1	LR	0.8710601719197708	0.8
216	NGram	0	LR	0.8258064516129031	0.8
217	NGram	1	LR	0.8363636363636364	0.8
218	NGram	0	LR	0.7975077881619939	0.8
219	NGram	1	LR	0.7962382445141066	0.8
220	Tfidf	0	LR	0.8636363636363636	0.8
221	Tfidf	1	LR	0.8734939759036144	0.8
222	Tfidf	0	LR	0.8862973760932944	0.8
223	Tfidf	1	LR	0.8686868686868687	0.8
224	Tfidf	0	LR	0.868421052631579	0.8
225	Tfidf	1	LR	0.8809523809523809	0.8
226	Tfidf	0	LR	0.8227424749163879	0.8
227	Tfidf	1	LR	0.844574780058651	0.8
228	Tfidf	0	LR	0.8634920634920634	0.8
229	Tfidf	1	LR	0.8676923076923078	0.8
230	Tfidf	0	LR	0.8588957055214723	0.8
231	Tfidf	1	LR	0.8535031847133758	0.8
232	Tfidf	0	LR	0.8605341246290802	0.8
233	Tfidf	1	LR	0.844884488448845	0.8
234	Tfidf	0	LR	0.8927335640138407	0.8
235	Tfidf	1	LR	0.9116809116809117	0.8
236	Tfidf	0	LR	0.8676923076923077	0.8
237	Tfidf	1	LR	0.8634920634920634	0.8
238	Tfidf	0	LR	0.8681672025723471	0.8
239	Tfidf	1	LR	0.8753799392097265	0.8
240	Count	0	LR	0.8484848484848485	0.9
241	Count	1	LR	0.8387096774193549	0.9
242	Count	0	LR	0.8795180722891566	0.9
243	Count	1	LR	0.8701298701298702	0.9
244	Count	0	LR	0.9044585987261147	0.9
245	Count	1	LR	0.9079754601226994	0.9
246	Count	0	LR	0.8627450980392157	0.9
247	Count	1	LR	0.8742514970059881	0.9
248	Count	0	LR	0.8476821192052981	0.9
249	Count	1	LR	0.863905325443787	0.9
250	Count	0	LR	0.8250000000000001	0.9
251	Count	1	LR	0.8250000000000001	0.9
252	Count	0	LR	0.8516129032258064	0.9
253	Count	1	LR	0.8606060606060606	0.9
254	Count	0	LR	0.8548387096774193	0.9
255	Count	1	LR	0.9081632653061226	0.9
256	Count	0	LR	0.8322981366459627	0.9
257	Count	1	LR	0.830188679245283	0.9
258	Count	0	LR	0.846153846153846	0.9
259	Count	1	LR	0.8536585365853657	0.9
260	NGram	0	LR	0.7831325301204819	0.9
261	NGram	1	LR	0.7662337662337663	0.9
262	NGram	0	LR	0.8363636363636364	0.9
263	NGram	1	LR	0.8258064516129033	0.9
264	NGram	0	LR	0.84472049689441	0.9
265	NGram	1	LR	0.8427672955974842	0.9
