	Vectorizer	Result	Model	f1-scores	TranningSize
0	Count	0	MLP	0.8542963885429639	0.5
1	Count	1	MLP	0.8531994981179423	0.5
2	Count	0	MLP	0.8411910669975187	0.5
3	Count	1	MLP	0.8387909319899244	0.5
4	Count	0	MLP	0.8341836734693877	0.5
5	Count	1	MLP	0.8406862745098039	0.5
6	Count	0	MLP	0.848180677540778	0.5
7	Count	1	MLP	0.8493150684931506	0.5
8	Count	0	MLP	0.8439897698209718	0.5
9	Count	1	MLP	0.8508557457212714	0.5
10	Count	0	MLP	0.8461538461538463	0.5
11	Count	1	MLP	0.8536585365853658	0.5
12	Count	0	MLP	0.8384615384615385	0.5
13	Count	1	MLP	0.8463414634146342	0.5
14	Count	0	MLP	0.8607277289836888	0.5
15	Count	1	MLP	0.8617683686176836	0.5
16	Count	0	MLP	0.8322496749024707	0.5
17	Count	1	MLP	0.8447653429602887	0.5
18	Count	0	MLP	0.8527918781725888	0.5
19	Count	1	MLP	0.8571428571428571	0.5
20	NGram	0	MLP	0.7468879668049792	0.5
21	NGram	1	MLP	0.7913340935005702	0.5
22	NGram	0	MLP	0.7677852348993289	0.5
23	NGram	1	MLP	0.7976608187134504	0.5
24	NGram	0	MLP	0.7774798927613942	0.5
25	NGram	1	MLP	0.8056206088992974	0.5
26	NGram	0	MLP	0.7782002534854248	0.5
27	NGram	1	MLP	0.7842170160295932	0.5
28	NGram	0	MLP	0.7836107554417414	0.5
29	NGram	1	MLP	0.7936507936507936	0.5
30	NGram	0	MLP	0.7894736842105263	0.5
31	NGram	1	MLP	0.8095238095238095	0.5
32	NGram	0	MLP	0.7572016460905349	0.5
33	NGram	1	MLP	0.7967853042479909	0.5
34	NGram	0	MLP	0.7525325615050652	0.5
35	NGram	1	MLP	0.8118811881188118	0.5
36	NGram	0	MLP	0.7348703170028819	0.5
37	NGram	1	MLP	0.7969094922737308	0.5
38	NGram	0	MLP	0.7797927461139896	0.5
39	NGram	1	MLP	0.7946859903381642	0.5
40	Tfidf	0	MLP	0.8666666666666666	0.5
41	Tfidf	1	MLP	0.8632911392405064	0.5
42	Tfidf	0	MLP	0.849936948297604	0.5
43	Tfidf	1	MLP	0.852540272614622	0.5
44	Tfidf	0	MLP	0.8609431680773882	0.5
45	Tfidf	1	MLP	0.8512289780077619	0.5
46	Tfidf	0	MLP	0.8627450980392156	0.5
47	Tfidf	1	MLP	0.8571428571428571	0.5
48	Tfidf	0	MLP	0.8614609571788412	0.5
49	Tfidf	1	MLP	0.8635235732009926	0.5
50	Tfidf	0	MLP	0.8647281921618205	0.5
51	Tfidf	1	MLP	0.8677379480840545	0.5
52	Tfidf	0	MLP	0.8542458808618505	0.5
53	Tfidf	1	MLP	0.8581997533908755	0.5
54	Tfidf	0	MLP	0.8703465982028241	0.5
55	Tfidf	1	MLP	0.8769792935444579	0.5
56	Tfidf	0	MLP	0.844559585492228	0.5
57	Tfidf	1	MLP	0.8550724637681159	0.5
58	Tfidf	0	MLP	0.8658227848101266	0.5
59	Tfidf	1	MLP	0.8691358024691358	0.5
60	Count	0	MLP	0.853125	0.6
61	Count	1	MLP	0.853125	0.6
62	Count	0	MLP	0.8511904761904763	0.6
63	Count	1	MLP	0.8355263157894737	0.6
64	Count	0	MLP	0.8615384615384615	0.6
65	Count	1	MLP	0.8571428571428572	0.6
66	Count	0	MLP	0.8471337579617835	0.6
67	Count	1	MLP	0.852760736196319	0.6
68	Count	0	MLP	0.8678071539657853	0.6
69	Count	1	MLP	0.8665620094191523	0.6
70	Count	0	MLP	0.8325508607198749	0.6
71	Count	1	MLP	0.8330733229329174	0.6
72	Count	0	MLP	0.863849765258216	0.6
73	Count	1	MLP	0.8642745709828392	0.6
74	Count	0	MLP	0.8475120385232745	0.6
75	Count	1	MLP	0.8554033485540334	0.6
76	Count	0	MLP	0.8470209339774556	0.6
77	Count	1	MLP	0.8558421851289834	0.6
78	Count	0	MLP	0.8562691131498472	0.6
79	Count	1	MLP	0.8498402555910544	0.6
80	NGram	0	MLP	0.7641996557659207	0.6
81	NGram	1	MLP	0.8040057224606582	0.6
82	NGram	0	MLP	0.7651006711409397	0.6
83	NGram	1	MLP	0.7953216374269005	0.6
84	NGram	0	MLP	0.7936	0.6
85	NGram	1	MLP	0.8030534351145039	0.6
86	NGram	0	MLP	0.7870967741935485	0.6
87	NGram	1	MLP	0.8000000000000002	0.6
88	NGram	0	MLP	0.7772194304857623	0.6
89	NGram	1	MLP	0.8052708638360174	0.6
90	NGram	0	MLP	0.7872696817420435	0.6
91	NGram	1	MLP	0.8140556368960469	0.6
92	NGram	0	MLP	0.7635135135135135	0.6
93	NGram	1	MLP	0.7965116279069767	0.6
94	NGram	0	MLP	0.7849829351535835	0.6
95	NGram	1	MLP	0.8184438040345822	0.6
96	NGram	0	MLP	0.7419354838709677	0.6
97	NGram	1	MLP	0.8005540166204985	0.6
98	NGram	0	MLP	0.7687188019966721	0.6
99	NGram	1	MLP	0.7952871870397644	0.6
100	Tfidf	0	MLP	0.8668730650154799	0.6
101	Tfidf	1	MLP	0.8643533123028391	0.6
102	Tfidf	0	MLP	0.8580152671755725	0.6
103	Tfidf	1	MLP	0.8512000000000001	0.6
104	Tfidf	0	MLP	0.880484114977307	0.6
105	Tfidf	1	MLP	0.8723747980613893	0.6
106	Tfidf	0	MLP	0.8634222919937207	0.6
107	Tfidf	1	MLP	0.8646967340590979	0.6
108	Tfidf	0	MLP	0.875776397515528	0.6
109	Tfidf	1	MLP	0.8742138364779873	0.6
110	Tfidf	0	MLP	0.8769716088328076	0.6
111	Tfidf	1	MLP	0.8792569659442724	0.6
112	Tfidf	0	MLP	0.8489666136724959	0.6
113	Tfidf	1	MLP	0.8540706605222733	0.6
114	Tfidf	0	MLP	0.8788368336025848	0.6
115	Tfidf	1	MLP	0.886535552193646	0.6
116	Tfidf	0	MLP	0.8557844690966719	0.6
117	Tfidf	1	MLP	0.859784283513097	0.6
118	Tfidf	0	MLP	0.8925373134328358	0.6
119	Tfidf	1	MLP	0.881967213114754	0.6
120	Count	0	MLP	0.835886214442013	0.7
121	Count	1	MLP	0.8508946322067595	0.7
122	Count	0	MLP	0.8715953307392996	0.7
123	Count	1	MLP	0.852017937219731	0.7
124	Count	0	MLP	0.8726513569937371	0.7
125	Count	1	MLP	0.873180873180873	0.7
126	Count	0	MLP	0.8222698072805139	0.7
127	Count	1	MLP	0.8316430020283977	0.7
128	Count	0	MLP	0.8583333333333334	0.7
129	Count	1	MLP	0.8583333333333334	0.7
130	Count	0	MLP	0.8824742268041237	0.7
131	Count	1	MLP	0.88	0.7
132	Count	0	MLP	0.8559498956158664	0.7
133	Count	1	MLP	0.8565488565488565	0.7
134	Count	0	MLP	0.8253968253968254	0.7
135	Count	1	MLP	0.8516377649325626	0.7
136	Count	0	MLP	0.8469601677148847	0.7
137	Count	1	MLP	0.8488612836438924	0.7
138	Count	0	MLP	0.8442622950819672	0.7
139	Count	1	MLP	0.8389830508474577	0.7
140	NGram	0	MLP	0.763888888888889	0.7
141	NGram	1	MLP	0.8068181818181819	0.7
142	NGram	0	MLP	0.7873684210526316	0.7
143	NGram	1	MLP	0.7917525773195876	0.7
144	NGram	0	MLP	0.7877461706783371	0.7
145	NGram	1	MLP	0.8071570576540756	0.7
146	NGram	0	MLP	0.7630331753554501	0.7
147	NGram	1	MLP	0.8141263940520445	0.7
148	NGram	0	MLP	0.7877461706783371	0.7
149	NGram	1	MLP	0.8071570576540754	0.7
150	NGram	0	MLP	0.7146282973621102	0.7
151	NGram	1	MLP	0.7808471454880295	0.7
152	NGram	0	MLP	0.7920353982300884	0.7
153	NGram	1	MLP	0.8149606299212597	0.7
154	NGram	0	MLP	0.7764127764127764	0.7
155	NGram	1	MLP	0.8354430379746834	0.7
156	NGram	0	MLP	0.7937219730941705	0.7
157	NGram	1	MLP	0.821011673151751	0.7
158	NGram	0	MLP	0.7363636363636364	0.7
159	NGram	1	MLP	0.7769230769230769	0.7
160	Tfidf	0	MLP	0.8490153172866521	0.7
161	Tfidf	1	MLP	0.8628230616302187	0.7
162	Tfidf	0	MLP	0.867704280155642	0.7
163	Tfidf	1	MLP	0.8475336322869954	0.7
164	Tfidf	0	MLP	0.8763102725366876	0.7
165	Tfidf	1	MLP	0.8778467908902691	0.7
166	Tfidf	0	MLP	0.8695652173913044	0.7
167	Tfidf	1	MLP	0.88	0.7
168	Tfidf	0	MLP	0.889344262295082	0.7
169	Tfidf	1	MLP	0.885593220338983	0.7
170	Tfidf	0	MLP	0.880503144654088	0.7
171	Tfidf	1	MLP	0.8819875776397516	0.7
172	Tfidf	0	MLP	0.8518518518518519	0.7
173	Tfidf	1	MLP	0.8481012658227849	0.7
174	Tfidf	0	MLP	0.861111111111111	0.7
175	Tfidf	1	MLP	0.8863636363636365	0.7
176	Tfidf	0	MLP	0.8535564853556484	0.7
177	Tfidf	1	MLP	0.8547717842323652	0.7
178	Tfidf	0	MLP	0.8840000000000001	0.7
179	Tfidf	1	MLP	0.8739130434782608	0.7
180	Count	0	MLP	0.8464163822525598	0.8
181	Count	1	MLP	0.8703170028818443	0.8
182	Count	0	MLP	0.896551724137931	0.8
183	Count	1	MLP	0.8767123287671232	0.8
184	Count	0	MLP	0.8712871287128713	0.8
185	Count	1	MLP	0.884272997032641	0.8
186	Count	0	MLP	0.8294314381270903	0.8
187	Count	1	MLP	0.8504398826979471	0.8
188	Count	0	MLP	0.8681672025723473	0.8
189	Count	1	MLP	0.8753799392097265	0.8
190	Count	0	MLP	0.8648648648648648	0.8
191	Count	1	MLP	0.8534201954397393	0.8
192	Count	0	MLP	0.8637681159420291	0.8
193	Count	1	MLP	0.840677966101695	0.8
194	Count	0	MLP	0.8380281690140845	0.8
195	Count	1	MLP	0.8707865168539326	0.8
196	Count	0	MLP	0.8501529051987767	0.8
197	Count	1	MLP	0.8434504792332268	0.8
198	Count	0	MLP	0.8295819935691319	0.8
199	Count	1	MLP	0.8389057750759878	0.8
200	NGram	0	MLP	0.7702702702702703	0.8
201	NGram	1	MLP	0.8023255813953489	0.8
202	NGram	0	MLP	0.7898089171974523	0.8
203	NGram	1	MLP	0.7975460122699387	0.8
204	NGram	0	MLP	0.7932203389830509	0.8
205	NGram	1	MLP	0.8231884057971015	0.8
206	NGram	0	MLP	0.784452296819788	0.8
207	NGram	1	MLP	0.8291316526610645	0.8
208	NGram	0	MLP	0.7681660899653979	0.8
209	NGram	1	MLP	0.8091168091168093	0.8
210	NGram	0	MLP	0.7142857142857143	0.8
211	NGram	1	MLP	0.7572254335260117	0.8
212	NGram	0	MLP	0.8167202572347266	0.8
213	NGram	1	MLP	0.8267477203647416	0.8
214	NGram	0	MLP	0.8201438848920864	0.8
215	NGram	1	MLP	0.861878453038674	0.8
216	NGram	0	MLP	0.7973856209150327	0.8
217	NGram	1	MLP	0.8143712574850299	0.8
218	NGram	0	MLP	0.7440273037542662	0.8
219	NGram	1	MLP	0.7838616714697406	0.8
220	Tfidf	0	MLP	0.8609271523178808	0.8
221	Tfidf	1	MLP	0.8757396449704141	0.8
222	Tfidf	0	MLP	0.8939828080229227	0.8
223	Tfidf	1	MLP	0.8728522336769761	0.8
224	Tfidf	0	MLP	0.8758169934640522	0.8
225	Tfidf	1	MLP	0.8862275449101796	0.8
226	Tfidf	0	MLP	0.8417508417508417	0.8
227	Tfidf	1	MLP	0.8629737609329446	0.8
228	Tfidf	0	MLP	0.8690095846645369	0.8
229	Tfidf	1	MLP	0.8746177370030581	0.8
230	Tfidf	0	MLP	0.8693009118541033	0.8
231	Tfidf	1	MLP	0.8617363344051446	0.8
232	Tfidf	0	MLP	0.8654970760233918	0.8
233	Tfidf	1	MLP	0.8456375838926175	0.8
234	Tfidf	0	MLP	0.8664259927797834	0.8
235	Tfidf	1	MLP	0.8980716253443526	0.8
236	Tfidf	0	MLP	0.8711656441717791	0.8
237	Tfidf	1	MLP	0.8662420382165605	0.8
238	Tfidf	0	MLP	0.8782051282051282	0.8
239	Tfidf	1	MLP	0.8841463414634146	0.8
240	Count	0	MLP	0.8641975308641976	0.9
241	Count	1	MLP	0.8607594936708861	0.9
242	Count	0	MLP	0.8757396449704142	0.9
243	Count	1	MLP	0.8609271523178809	0.9
244	Count	0	MLP	0.8860759493670887	0.9
245	Count	1	MLP	0.888888888888889	0.9
246	Count	0	MLP	0.8481012658227848	0.9
247	Count	1	MLP	0.8518518518518519	0.9
248	Count	0	MLP	0.8701298701298702	0.9
249	Count	1	MLP	0.8795180722891567	0.9
250	Count	0	MLP	0.8502994011976048	0.9
251	Count	1	MLP	0.8366013071895425	0.9
252	Count	0	MLP	0.8354430379746836	0.9
253	Count	1	MLP	0.8395061728395061	0.9
254	Count	0	MLP	0.832	0.9
255	Count	1	MLP	0.8923076923076922	0.9
256	Count	0	MLP	0.8343558282208589	0.9
257	Count	1	MLP	0.8280254777070063	0.9
258	Count	0	MLP	0.8500000000000001	0.9
259	Count	1	MLP	0.8500000000000001	0.9
260	NGram	0	MLP	0.7757575757575758	0.9
261	NGram	1	MLP	0.7612903225806452	0.9
262	NGram	0	MLP	0.7814569536423842	0.9
