	Vectorizer	Result	Model	f1-scores	TranningSize
0	Count	0	NB_Bernoulli	0.8489583333333334	0.5
1	Count	1	NB_Bernoulli	0.860576923076923	0.5
2	Count	0	NB_Bernoulli	0.8449612403100775	0.5
3	Count	1	NB_Bernoulli	0.8547215496368039	0.5
4	Count	0	NB_Bernoulli	0.8070652173913044	0.5
5	Count	1	NB_Bernoulli	0.835648148148148	0.5
6	Count	0	NB_Bernoulli	0.8315508021390374	0.5
7	Count	1	NB_Bernoulli	0.852112676056338	0.5
8	Count	0	NB_Bernoulli	0.8597402597402598	0.5
9	Count	1	NB_Bernoulli	0.8698795180722891	0.5
10	Count	0	NB_Bernoulli	0.8321579689703807	0.5
11	Count	1	NB_Bernoulli	0.866442199775533	0.5
12	Count	0	NB_Bernoulli	0.8279569892473118	0.5
13	Count	1	NB_Bernoulli	0.8504672897196263	0.5
14	Count	0	NB_Bernoulli	0.8478260869565217	0.5
15	Count	1	NB_Bernoulli	0.8703703703703705	0.5
16	Count	0	NB_Bernoulli	0.781869688385269	0.5
17	Count	1	NB_Bernoulli	0.8277404921700223	0.5
18	Count	0	NB_Bernoulli	0.8516129032258064	0.5
19	Count	1	NB_Bernoulli	0.8606060606060607	0.5
20	NGram	0	NB_Bernoulli	0.7470238095238095	0.5
21	NGram	1	NB_Bernoulli	0.8168103448275862	0.5
22	NGram	0	NB_Bernoulli	0.6569579288025891	0.5
23	NGram	1	NB_Bernoulli	0.7841140529531568	0.5
24	NGram	0	NB_Bernoulli	0.2845188284518828	0.5
25	NGram	1	NB_Bernoulli	0.6951871657754011	0.5
26	NGram	0	NB_Bernoulli	0.6568144499178983	0.5
27	NGram	1	NB_Bernoulli	0.7891019172552977	0.5
28	NGram	0	NB_Bernoulli	0.7505285412262157	0.5
29	NGram	1	NB_Bernoulli	0.6391437308868502	0.5
30	NGram	0	NB_Bernoulli	0.7360482654600301	0.5
31	NGram	1	NB_Bernoulli	0.8132337246531484	0.5
32	NGram	0	NB_Bernoulli	0.5868055555555556	0.5
33	NGram	1	NB_Bernoulli	0.7675781249999999	0.5
34	NGram	0	NB_Bernoulli	0.7932203389830509	0.5
35	NGram	1	NB_Bernoulli	0.744055944055944	0.5
36	NGram	0	NB_Bernoulli	0.3153526970954357	0.5
37	NGram	1	NB_Bernoulli	0.7048300536672629	0.5
38	NGram	0	NB_Bernoulli	0.6547231270358306	0.5
39	NGram	1	NB_Bernoulli	0.7849898580121704	0.5
40	Tfidf	0	NB_Bernoulli	0.8489583333333334	0.5
41	Tfidf	1	NB_Bernoulli	0.860576923076923	0.5
42	Tfidf	0	NB_Bernoulli	0.8449612403100775	0.5
43	Tfidf	1	NB_Bernoulli	0.8547215496368039	0.5
44	Tfidf	0	NB_Bernoulli	0.8070652173913044	0.5
45	Tfidf	1	NB_Bernoulli	0.835648148148148	0.5
46	Tfidf	0	NB_Bernoulli	0.8315508021390374	0.5
47	Tfidf	1	NB_Bernoulli	0.852112676056338	0.5
48	Tfidf	0	NB_Bernoulli	0.8597402597402598	0.5
49	Tfidf	1	NB_Bernoulli	0.8698795180722891	0.5
50	Tfidf	0	NB_Bernoulli	0.8321579689703807	0.5
51	Tfidf	1	NB_Bernoulli	0.866442199775533	0.5
52	Tfidf	0	NB_Bernoulli	0.8279569892473118	0.5
53	Tfidf	1	NB_Bernoulli	0.8504672897196263	0.5
54	Tfidf	0	NB_Bernoulli	0.8478260869565217	0.5
55	Tfidf	1	NB_Bernoulli	0.8703703703703705	0.5
56	Tfidf	0	NB_Bernoulli	0.781869688385269	0.5
57	Tfidf	1	NB_Bernoulli	0.8277404921700223	0.5
58	Tfidf	0	NB_Bernoulli	0.8516129032258064	0.5
59	Tfidf	1	NB_Bernoulli	0.8606060606060607	0.5
60	Count	0	NB_Bernoulli	0.8424543946932007	0.6
61	Count	1	NB_Bernoulli	0.8596750369276218	0.6
62	Count	0	NB_Bernoulli	0.8427876823338736	0.6
63	Count	1	NB_Bernoulli	0.8536953242835595	0.6
64	Count	0	NB_Bernoulli	0.8201680672268907	0.6
65	Count	1	NB_Bernoulli	0.8437956204379562	0.6
66	Count	0	NB_Bernoulli	0.8251273344651953	0.6
67	Count	1	NB_Bernoulli	0.8509406657018813	0.6
68	Count	0	NB_Bernoulli	0.8701298701298701	0.6
69	Count	1	NB_Bernoulli	0.8795180722891567	0.6
70	Count	0	NB_Bernoulli	0.8350877192982457	0.6
71	Count	1	NB_Bernoulli	0.8676056338028169	0.6
72	Count	0	NB_Bernoulli	0.8280467445742906	0.6
73	Count	1	NB_Bernoulli	0.8487518355359766	0.6
74	Count	0	NB_Bernoulli	0.83704974271012	0.6
75	Count	1	NB_Bernoulli	0.8637015781922525	0.6
76	Count	0	NB_Bernoulli	0.8083623693379791	0.6
77	Count	1	NB_Bernoulli	0.8441926345609065	0.6
78	Count	0	NB_Bernoulli	0.8608414239482199	0.6
79	Count	1	NB_Bernoulli	0.8700906344410877	0.6
80	NGram	0	NB_Bernoulli	0.7051792828685257	0.6
81	NGram	1	NB_Bernoulli	0.8097686375321338	0.6
82	NGram	0	NB_Bernoulli	0.31077694235588976	0.6
83	NGram	1	NB_Bernoulli	0.6878547105561862	0.6
84	NGram	0	NB_Bernoulli	0.29873417721518986	0.6
85	NGram	1	NB_Bernoulli	0.6870056497175141	0.6
86	NGram	0	NB_Bernoulli	0.7697974217311233	0.6
87	NGram	1	NB_Bernoulli	0.830393487109905	0.6
88	NGram	0	NB_Bernoulli	0.7824561403508773	0.6
89	NGram	1	NB_Bernoulli	0.8253521126760565	0.6
90	NGram	0	NB_Bernoulli	0.5272727272727272	0.6
91	NGram	1	NB_Bernoulli	0.7523809523809524	0.6
92	NGram	0	NB_Bernoulli	0.5291479820627802	0.6
93	NGram	1	NB_Bernoulli	0.7482014388489209	0.6
94	NGram	0	NB_Bernoulli	0.8014184397163122	0.6
95	NGram	1	NB_Bernoulli	0.8435754189944134	0.6
96	NGram	0	NB_Bernoulli	0.34096692111959287	0.6
97	NGram	1	NB_Bernoulli	0.7080045095828635	0.6
98	NGram	0	NB_Bernoulli	0.41346153846153844	0.6
99	NGram	1	NB_Bernoulli	0.7175925925925926	0.6
100	Tfidf	0	NB_Bernoulli	0.8424543946932007	0.6
101	Tfidf	1	NB_Bernoulli	0.8596750369276218	0.6
102	Tfidf	0	NB_Bernoulli	0.8427876823338736	0.6
103	Tfidf	1	NB_Bernoulli	0.8536953242835595	0.6
104	Tfidf	0	NB_Bernoulli	0.8201680672268907	0.6
105	Tfidf	1	NB_Bernoulli	0.8437956204379562	0.6
106	Tfidf	0	NB_Bernoulli	0.8251273344651953	0.6
107	Tfidf	1	NB_Bernoulli	0.8509406657018813	0.6
108	Tfidf	0	NB_Bernoulli	0.8701298701298701	0.6
109	Tfidf	1	NB_Bernoulli	0.8795180722891567	0.6
110	Tfidf	0	NB_Bernoulli	0.8350877192982457	0.6
111	Tfidf	1	NB_Bernoulli	0.8676056338028169	0.6
112	Tfidf	0	NB_Bernoulli	0.8280467445742906	0.6
113	Tfidf	1	NB_Bernoulli	0.8487518355359766	0.6
114	Tfidf	0	NB_Bernoulli	0.83704974271012	0.6
115	Tfidf	1	NB_Bernoulli	0.8637015781922525	0.6
116	Tfidf	0	NB_Bernoulli	0.8083623693379791	0.6
117	Tfidf	1	NB_Bernoulli	0.8441926345609065	0.6
118	Tfidf	0	NB_Bernoulli	0.8608414239482199	0.6
119	Tfidf	1	NB_Bernoulli	0.8700906344410877	0.6
120	Count	0	NB_Bernoulli	0.8337129840546698	0.7
121	Count	1	NB_Bernoulli	0.8598848368522074	0.7
122	Count	0	NB_Bernoulli	0.8684759916492693	0.7
123	Count	1	NB_Bernoulli	0.8690228690228691	0.7
124	Count	0	NB_Bernoulli	0.8577777777777776	0.7
125	Count	1	NB_Bernoulli	0.8745098039215686	0.7
126	Count	0	NB_Bernoulli	0.8391608391608391	0.7
127	Count	1	NB_Bernoulli	0.8700564971751413	0.7
128	Count	0	NB_Bernoulli	0.8584070796460178	0.7
129	Count	1	NB_Bernoulli	0.874015748031496	0.7
130	Count	0	NB_Bernoulli	0.8321839080459771	0.7
131	Count	1	NB_Bernoulli	0.8609523809523809	0.7
132	Count	0	NB_Bernoulli	0.8035714285714286	0.7
133	Count	1	NB_Bernoulli	0.828125	0.7
134	Count	0	NB_Bernoulli	0.8665105386416863	0.7
135	Count	1	NB_Bernoulli	0.8930581613508443	0.7
136	Count	0	NB_Bernoulli	0.8065268065268065	0.7
137	Count	1	NB_Bernoulli	0.8436911487758946	0.7
138	Count	0	NB_Bernoulli	0.8614072494669508	0.7
139	Count	1	NB_Bernoulli	0.8676171079429735	0.7
140	NGram	0	NB_Bernoulli	0.759493670886076	0.7
141	NGram	1	NB_Bernoulli	0.8318584070796462	0.7
142	NGram	0	NB_Bernoulli	0.44376899696048633	0.7
143	NGram	1	NB_Bernoulli	0.7099841521394611	0.7
144	NGram	0	NB_Bernoulli	0.6371191135734072	0.7
145	NGram	1	NB_Bernoulli	0.7813021702838064	0.7
146	NGram	0	NB_Bernoulli	0.7864077669902912	0.7
