	Vectorizer	Result	Model	f1-scores	TranningSize
0	Count	0	NB_Multinomial	0.8538461538461538	0.5
1	Count	1	NB_Multinomial	0.8609756097560975	0.5
2	Count	0	NB_Multinomial	0.8604060913705582	0.5
3	Count	1	NB_Multinomial	0.8645320197044335	0.5
4	Count	0	NB_Multinomial	0.864102564102564	0.5
5	Count	1	NB_Multinomial	0.8707317073170732	0.5
6	Count	0	NB_Multinomial	0.8564167725540025	0.5
7	Count	1	NB_Multinomial	0.8610086100861007	0.5
8	Count	0	NB_Multinomial	0.8527131782945736	0.5
9	Count	1	NB_Multinomial	0.8619854721549637	0.5
10	Count	0	NB_Multinomial	0.8673740053050398	0.5
11	Count	1	NB_Multinomial	0.8817966903073287	0.5
12	Count	0	NB_Multinomial	0.861219195849546	0.5
13	Count	1	NB_Multinomial	0.870928829915561	0.5
14	Count	0	NB_Multinomial	0.8473684210526317	0.5
15	Count	1	NB_Multinomial	0.8619047619047618	0.5
16	Count	0	NB_Multinomial	0.857516339869281	0.5
17	Count	1	NB_Multinomial	0.8694610778443114	0.5
18	Count	0	NB_Multinomial	0.8654088050314466	0.5
19	Count	1	NB_Multinomial	0.8670807453416148	0.5
20	NGram	0	NB_Multinomial	0.7569955817378498	0.5
21	NGram	1	NB_Multinomial	0.8208469055374593	0.5
22	NGram	0	NB_Multinomial	0.7890410958904109	0.5
23	NGram	1	NB_Multinomial	0.8229885057471266	0.5
24	NGram	0	NB_Multinomial	0.7776223776223776	0.5
25	NGram	1	NB_Multinomial	0.8203389830508475	0.5
26	NGram	0	NB_Multinomial	0.7710144927536232	0.5
27	NGram	1	NB_Multinomial	0.8263736263736264	0.5
28	NGram	0	NB_Multinomial	0.7772925764192139	0.5
29	NGram	1	NB_Multinomial	0.832420591456736	0.5
30	NGram	0	NB_Multinomial	0.7355623100303951	0.5
31	NGram	1	NB_Multinomial	0.8152866242038216	0.5
32	NGram	0	NB_Multinomial	0.7422680412371133	0.5
33	NGram	1	NB_Multinomial	0.8099891422366992	0.5
34	NGram	0	NB_Multinomial	0.7942028985507246	0.5
35	NGram	1	NB_Multinomial	0.843956043956044	0.5
36	NGram	0	NB_Multinomial	0.7663817663817664	0.5
37	NGram	1	NB_Multinomial	0.8173719376391982	0.5
38	NGram	0	NB_Multinomial	0.7640449438202248	0.5
39	NGram	1	NB_Multinomial	0.8108108108108107	0.5
40	Tfidf	0	NB_Multinomial	0.8436268068331144	0.5
41	Tfidf	1	NB_Multinomial	0.8581644815256259	0.5
42	Tfidf	0	NB_Multinomial	0.8246575342465753	0.5
43	Tfidf	1	NB_Multinomial	0.8528735632183909	0.5
44	Tfidf	0	NB_Multinomial	0.777934936350778	0.5
45	Tfidf	1	NB_Multinomial	0.8241881298992161	0.5
46	Tfidf	0	NB_Multinomial	0.8478543563068921	0.5
47	Tfidf	1	NB_Multinomial	0.8592057761732853	0.5
48	Tfidf	0	NB_Multinomial	0.8560509554140129	0.5
49	Tfidf	1	NB_Multinomial	0.8613496932515338	0.5
50	Tfidf	0	NB_Multinomial	0.8590785907859078	0.5
51	Tfidf	1	NB_Multinomial	0.8793503480278422	0.5
52	Tfidf	0	NB_Multinomial	0.8355795148247979	0.5
53	Tfidf	1	NB_Multinomial	0.8578088578088578	0.5
54	Tfidf	0	NB_Multinomial	0.8433420365535248	0.5
55	Tfidf	1	NB_Multinomial	0.8561151079136692	0.5
56	Tfidf	0	NB_Multinomial	0.794908062234795	0.5
57	Tfidf	1	NB_Multinomial	0.837625979843225	0.5
58	Tfidf	0	NB_Multinomial	0.8342245989304813	0.5
59	Tfidf	1	NB_Multinomial	0.8544600938967136	0.5
60	Count	0	NB_Multinomial	0.8475120385232745	0.6
61	Count	1	NB_Multinomial	0.8554033485540335	0.6
62	Count	0	NB_Multinomial	0.8680981595092025	0.6
63	Count	1	NB_Multinomial	0.8630573248407644	0.6
64	Count	0	NB_Multinomial	0.8576	0.6
65	Count	1	NB_Multinomial	0.8641221374045801	0.6
66	Count	0	NB_Multinomial	0.8525641025641025	0.6
67	Count	1	NB_Multinomial	0.8597560975609756	0.6
68	Count	0	NB_Multinomial	0.8690095846645367	0.6
69	Count	1	NB_Multinomial	0.8746177370030581	0.6
70	Count	0	NB_Multinomial	0.8623548922056385	0.6
71	Count	1	NB_Multinomial	0.8774002954209749	0.6
72	Count	0	NB_Multinomial	0.8483870967741935	0.6
73	Count	1	NB_Multinomial	0.8575757575757575	0.6
74	Count	0	NB_Multinomial	0.8580750407830342	0.6
75	Count	1	NB_Multinomial	0.8695652173913043	0.6
76	Count	0	NB_Multinomial	0.864516129032258	0.6
77	Count	1	NB_Multinomial	0.8727272727272727	0.6
78	Count	0	NB_Multinomial	0.8695652173913044	0.6
79	Count	1	NB_Multinomial	0.8679245283018867	0.6
80	NGram	0	NB_Multinomial	0.7779816513761466	0.6
81	NGram	1	NB_Multinomial	0.8353741496598639	0.6
82	NGram	0	NB_Multinomial	0.8130081300813009	0.6
83	NGram	1	NB_Multinomial	0.8270676691729323	0.6
84	NGram	0	NB_Multinomial	0.7849829351535835	0.6
85	NGram	1	NB_Multinomial	0.818443804034582	0.6
86	NGram	0	NB_Multinomial	0.7703703703703704	0.6
87	NGram	1	NB_Multinomial	0.8324324324324325	0.6
88	NGram	0	NB_Multinomial	0.7964912280701754	0.6
