	Vectorizer	Result	Model	f1-scores	TranningSize
0	Count	0	SVM	0.8173690932311622	0.5
1	Count	1	SVM	0.8249694002447979	0.5
2	Count	0	SVM	0.814070351758794	0.5
3	Count	1	SVM	0.8159203980099502	0.5
4	Count	0	SVM	0.836272040302267	0.5
5	Count	1	SVM	0.8387096774193549	0.5
6	Count	0	SVM	0.8136020151133502	0.5
7	Count	1	SVM	0.8163771712158809	0.5
8	Count	0	SVM	0.827319587628866	0.5
9	Count	1	SVM	0.837378640776699	0.5
10	Count	0	SVM	0.8041504539559013	0.5
11	Count	1	SVM	0.8178528347406514	0.5
12	Count	0	SVM	0.8292682926829269	0.5
13	Count	1	SVM	0.8380024360535931	0.5
14	Count	0	SVM	0.8433420365535248	0.5
15	Count	1	SVM	0.8561151079136692	0.5
16	Count	0	SVM	0.8191214470284238	0.5
17	Count	1	SVM	0.8305084745762712	0.5
18	Count	0	SVM	0.8239795918367347	0.5
19	Count	1	SVM	0.8308823529411764	0.5
20	NGram	0	SVM	0.7958921694480102	0.5
21	NGram	1	SVM	0.8063337393422656	0.5
22	NGram	0	SVM	0.8125786163522012	0.5
23	NGram	1	SVM	0.8149068322981367	0.5
24	NGram	0	SVM	0.7890625	0.5
25	NGram	1	SVM	0.8052884615384615	0.5
26	NGram	0	SVM	0.7994955863808323	0.5
27	NGram	1	SVM	0.8029739776951673	0.5
28	NGram	0	SVM	0.7870485678704857	0.5
29	NGram	1	SVM	0.7854454203262233	0.5
30	NGram	0	SVM	0.7870619946091645	0.5
31	NGram	1	SVM	0.8158508158508158	0.5
32	NGram	0	SVM	0.7932379713914174	0.5
33	NGram	1	SVM	0.8086642599277978	0.5
34	NGram	0	SVM	0.8098958333333333	0.5
35	NGram	1	SVM	0.8245192307692308	0.5
36	NGram	0	SVM	0.7603305785123966	0.5
37	NGram	1	SVM	0.8009153318077804	0.5
38	NGram	0	SVM	0.788339670468948	0.5
39	NGram	1	SVM	0.7940813810110974	0.5
40	Tfidf	0	SVM	0.8596273291925466	0.5
41	Tfidf	1	SVM	0.8578616352201258	0.5
42	Tfidf	0	SVM	0.863920099875156	0.5
43	Tfidf	1	SVM	0.8635794743429286	0.5
44	Tfidf	0	SVM	0.8658227848101265	0.5
45	Tfidf	1	SVM	0.8691358024691357	0.5
46	Tfidf	0	SVM	0.8578616352201257	0.5
47	Tfidf	1	SVM	0.8596273291925465	0.5
48	Tfidf	0	SVM	0.8707653701380177	0.5
49	Tfidf	1	SVM	0.8717310087173101	0.5
50	Tfidf	0	SVM	0.8740359897172236	0.5
51	Tfidf	1	SVM	0.8807785888077859	0.5
52	Tfidf	0	SVM	0.8631840796019901	0.5
53	Tfidf	1	SVM	0.8618090452261306	0.5
54	Tfidf	0	SVM	0.8727272727272728	0.5
55	Tfidf	1	SVM	0.8819277108433735	0.5
56	Tfidf	0	SVM	0.8480204342273309	0.5
57	Tfidf	1	SVM	0.8543451652386781	0.5
58	Tfidf	0	SVM	0.8698884758364313	0.5
59	Tfidf	1	SVM	0.8675914249684742	0.5
60	Count	0	SVM	0.8169934640522876	0.6
61	Count	1	SVM	0.8323353293413174	0.6
62	Count	0	SVM	0.8338368580060422	0.6
63	Count	1	SVM	0.8220064724919095	0.6
64	Count	0	SVM	0.8482003129890454	0.6
65	Count	1	SVM	0.8486739469578783	0.6
66	Count	0	SVM	0.8174474959612278	0.6
67	Count	1	SVM	0.8290468986384266	0.6
68	Count	0	SVM	0.8370607028753994	0.6
69	Count	1	SVM	0.8440366972477065	0.6
70	Count	0	SVM	0.8235294117647058	0.6
71	Count	1	SVM	0.8294930875576036	0.6
72	Count	0	SVM	0.8454258675078864	0.6
73	Count	1	SVM	0.848297213622291	0.6
74	Count	0	SVM	0.8303130148270181	0.6
75	Count	1	SVM	0.8469539375928677	0.6
76	Count	0	SVM	0.832520325203252	0.6
77	Count	1	SVM	0.8451127819548871	0.6
78	Count	0	SVM	0.8317757009345794	0.6
79	Count	1	SVM	0.8307210031347962	0.6
80	NGram	0	SVM	0.792763157894737	0.6
81	NGram	1	SVM	0.8125	0.6
82	NGram	0	SVM	0.8006230529595015	0.6
83	NGram	1	SVM	0.7993730407523509	0.6
84	NGram	0	SVM	0.7937007874015748	0.6
85	NGram	1	SVM	0.7968992248062015	0.6
86	NGram	0	SVM	0.8019169329073482	0.6
87	NGram	1	SVM	0.8103975535168195	0.6
88	NGram	0	SVM	0.8025078369905956	0.6
89	NGram	1	SVM	0.8037383177570093	0.6
90	NGram	0	SVM	0.79	0.6
91	NGram	1	SVM	0.8147058823529412	0.6
92	NGram	0	SVM	0.7954911433172303	0.6
93	NGram	1	SVM	0.8072837632776936	0.6
94	NGram	0	SVM	0.8187702265372168	0.6
95	NGram	1	SVM	0.8308157099697886	0.6
96	NGram	0	SVM	0.7692307692307693	0.6
97	NGram	1	SVM	0.8057553956834532	0.6
98	NGram	0	SVM	0.8018720748829953	0.6
99	NGram	1	SVM	0.8012519561815336	0.6
100	Tfidf	0	SVM	0.8513931888544892	0.6
101	Tfidf	1	SVM	0.8485804416403786	0.6
102	Tfidf	0	SVM	0.8686567164179103	0.6
103	Tfidf	1	SVM	0.8557377049180329	0.6
104	Tfidf	0	SVM	0.8788819875776396	0.6
105	Tfidf	1	SVM	0.8773584905660377	0.6
